1, 0
1, 0
2, 0
3, 0
4, 0
5, 0
6, 0
7, 0
8, 0
9, 0
10, 0
11, 0
12, 0
13, 0
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
20, 0
21, 1
22, 0
23, 0
24, 0
25, 1
26, 0
27, 0
28, 0
29, 0
30, 0
31, 0
32, 0
33, 0
34, 0
35, 0
36, 0
37, 0
38, 0
39, 0
40, 0
1, 0
2, 0
3, 0
4, 1
5, 2
6, 2
7, 2
8, 2
9, 5
10, 8
11, 9
12, 12
13, 12
14, 12
15, 12
1, 12
2, 14
3, 18
4, 20
5, 22
6, 22
7, 22
8, 22
9, 22
10, 22
11, 23
12, 24
13, 24
14, 25
15, 26
16, 30
17, 35
18, 36
19, 36
20, 36
1, 0
2, 0
3, 2
4, 7
5, 11
6, 15
7, 18
8, 22
9, 22
10, 22
1, 22
2, 22
3, 22
1, 22
2, 22
3, 22
4, 22
1, 0
2, 2
3, 4
4, 6
5, 8
6, 10
7, 12
8, 12
9, 12
10, 12
11, 12
12, 12
13, 12
14, 12
15, 12
16, 13
17, 14
1, 0
2, 0
3, 0
4, 4
5, 7
6, 11
7, 13
8, 19
9, 23
1, 142
2, 145
3, 150
4, 156
5, 160
6, 163
7, 168
8, 174
9, 179
10, 184
11, 188
12, 193
13, 198
14, 198
