1, 198
2, 198
3, 198
4, 198
5, 198
6, 198
7, 198
8, 198
9, 198
10, 198
11, 198
12, 198
13, 198
14, 198
15, 198
16, 198
17, 198
18, 198
19, 198
20, 198
21, 198
22, 198
23, 198
24, 198
25, 198
26, 198
27, 198
28, 198
29, 198
30, 198
31, 199
32, 199
33, 199
34, 199
35, 199
36, 199
37, 202
38, 205
39, 208
40, 211
41, 212
42, 214
43, 218
44, 222
45, 223
46, 226
47, 228
48, 233
49, 237
50, 240
51, 243
52, 244
53, 244
54, 244
55, 244
56, 244
57, 244
58, 244
59, 244
60, 246
61, 246
62, 246
63, 246
64, 246
65, 246
66, 246
67, 246
1, 0
2, 0
3, 0
4, 0
5, 0
6, 0
7, 0
8, 0
9, 0
10, 0
11, 0
12, 2
13, 4
14, 5
15, 7
16, 7
1, 32
2, 32
3, 33
4, 33
5, 33
6, 33
7, 33
8, 33
9, 33
10, 33
11, 33
12, 33
13, 34
14, 34
15, 34
